,A,P
169,0.0572512,-0.456
170,0.0439456,-3.576
171,0.0558703,-3.618
172,0.0438616,-3.258
173,0.0571902,-0.924
174,0.0446932,5.838
175,0.0571826,-1.14
176,0.0436709,-2.73
177,0.0547488,5.094
178,0.0523226,-7.428
179,0.0544436,5.406
180,0.0564959,-1.812
181,0.0431445,-1.746
182,0.0558245,4.788
183,0.04863,-7.848
184,0.0433581,2.946
185,0.0548785,-5.142
186,0.0433962,-1.032
187,0.0567553,-2.694
188,0.046181,7.212
189,0.056679,-0.552
190,0.0463641,7.362
191,0.0566638,-0.798
192,0.0437624,-3.774
193,0.0566866,-0.342
194,0.0446856,4.74
195,0.0506442,-7.782
196,0.0463717,-6.846
197,0.0569613,2.298
198,0.0461581,-6.726
199,0.0429995,-0.738
200,0.0561984,4.182
201,0.0436785,2.364
202,0.0566256,0.924
203,0.0539172,-6.156
204,0.0526431,7.56
205,0.0520022,-7.542
206,0.0457919,6.114
207,0.0530016,6.558
208,0.0430834,-1.302
209,0.0555651,5.106
210,0.0483553,-7.764
211,0.0491412,7.572
212,0.0541918,6.546
213,0.0433733,-0.69
214,0.0438693,-3.378
215,0.0571978,-0.864
216,0.0440829,-3.894
217,0.0545352,5.286
218,0.0492709,-7.896
219,0.0476916,8.004
220,0.0559313,-4.404
221,0.0434115,0.792
222,0.0563815,2.076
223,0.0457308,-6.57
224,0.0571978,-0.432
225,0.054642,-5.406
226,0.0516741,7.962
227,0.0453875,-6.18
228,0.0519183,7.89
229,0.0570529,1.986
230,0.0453951,-5.952
231,0.0523226,6.942
232,0.0513308,-7.596
233,0.0440829,3.534
234,0.056679,0.594
235,0.0474398,-7.476
236,0.0507357,7.47
237,0.0444338,-5.016
238,0.0569232,-2.244
239,0.045769,6.918
240,0.0490801,-7.938
241,0.0490649,7.566
242,0.0547335,-5.31
243,0.0432513,2.634
244,0.0517886,7.164
245,0.0518954,-7.368
246,0.0452502,6.456
247,0.0571444,-1.146
248,0.0436785,-2.712
249,0.0547717,5.04
250,0.056412,-2.274
251,0.0483782,-7.806
252,0.0563967,2.028
253,0.0451281,-5.952
254,0.0492861,7.602
255,0.0485995,-7.83
256,0.0559618,4.53
257,0.0483706,-7.8
258,0.0433733,-0.966
259,0.0451205,-5.97
260,0.0435412,3.534
261,0.0524142,-7.374
262,0.0436175,3.84
263,0.0543673,-5.652
264,0.0497744,7.572
265,0.05423,-5.832
266,0.0438693,4.392
267,0.0540621,-6.0
268,0.0433581,-0.438
269,0.0560839,2.988
270,0.0465319,-7.128
271,0.0558856,3.378
272,0.0463412,-6.996
273,0.050751,8.25
274,0.0439913,4.65
275,0.0538714,-6.174
276,0.0498736,-7.95
277,0.0483477,7.446
278,0.0552142,-4.674
279,0.0517504,-7.632
280,0.0552752,4.404
281,0.0553591,-5.076
282,0.0429537,-0.03
283,0.0551913,-5.292
284,0.0480654,-7.716
285,0.056618,1.008
286,0.0436785,2.466
287,0.0549166,-5.628
288,0.0437777,2.76
289,0.0561297,4.284
290,0.0429842,0.294
291,0.0562365,4.05
292,0.0436404,-2.502
293,0.0439913,4.704
294,0.0556643,5.052
295,0.0481951,-7.8
296,0.049248,7.56
297,0.0546114,-5.448
298,0.0494692,7.584
299,0.054436,-5.61
300,0.0472567,-7.488
301,0.0527041,-7.272
302,0.0457308,6.006
303,0.0499804,8.292
304,0.0543902,-6.204
305,0.0440524,3.546
306,0.0458453,-6.63
307,0.0435107,-1.938
308,0.056946,-2.034
309,0.046181,7.188
310,0.0454714,-6.336
311,0.0563204,2.202
312,0.0458453,-6.624
313,0.0519869,7.866
314,0.0470583,6.972
315,0.0572283,-0.546
316,0.0472643,7.062
317,0.044945,5.19
318,0.0495303,-7.896
319,0.0540164,5.802
320,0.0506823,-7.914
321,0.0542223,5.658
322,0.043915,-3.42
323,0.054352,5.472
324,0.0440981,-3.924
325,0.0431521,-1.86
326,0.0556796,-4.704
327,0.0434573,1.326
328,0.0554583,5.25
329,0.051224,-7.638
330,0.0531924,6.42
331,0.0567782,2.874
332,0.0466845,-7.104
333,0.0507586,-7.776
334,0.0462267,7.29
335,0.0505373,-7.77
336,0.0444949,4.392
337,0.0567706,2.874
338,0.0466845,-7.044
339,0.0515139,7.296
340,0.0527422,-6.948
341,0.0485232,-7.824
342,0.0437777,-3.93
343,0.0513308,7.332
344,0.0556567,-4.764
345,0.0500948,-7.86
346,0.0435565,-3.468
347,0.0566561,-0.708
348,0.0565493,1.464
349,0.0475924,-7.59
350,0.0473483,7.842
351,0.0438769,3.03
352,0.0550387,-5.52
353,0.0517504,7.158
354,0.0560153,4.452
355,0.0476229,-7.572
356,0.0565646,1.236
357,0.0445406,-5.238
358,0.052994,7.41
359,0.0448611,-5.634
360,0.0531771,7.32
361,0.0521166,-7.518
362,0.0570147,-1.824
363,0.0436785,-2.736
364,0.0569613,-2.046
365,0.0455782,6.798
366,0.0566638,0.762
367,0.0469744,-7.23
368,0.0505755,7.506
369,0.047394,-7.47
370,0.0565951,3.402
371,0.0439761,3.354
372,0.0510027,7.404
373,0.0532305,-6.69
374,0.0539401,6.714
375,0.051224,-7.794
376,0.0464709,6.582
377,0.0559161,-3.486
378,0.0476992,-7.632
379,0.0560763,4.41
380,0.056618,-1.026
381,0.0474093,7.914
382,0.0563967,-3.564
383,0.0432818,-2.424
384,0.0549929,5.79
385,0.043381,0.72
386,0.0551531,5.616
387,0.0516207,-7.488
388,0.0454714,6.678
389,0.0513995,-7.584
390,0.0554507,5.268
391,0.0491946,-7.962
392,0.0458529,6.99
393,0.0463412,6.54
394,0.057236,-0.384
395,0.0531542,-6.996
396,0.0448916,5.034
397,0.0496829,-7.926
398,0.0472414,7.848
399,0.0564578,-3.39
400,0.0495532,-7.938
401,0.0479815,7.362
402,0.0461276,-6.828
403,0.0481646,7.404
404,0.0465014,-7.074
405,0.0512393,8.124
406,0.0551608,4.578
407,0.0436327,-2.514
408,0.0446551,-5.01
409,0.0537951,5.982
410,0.0502627,-7.812
411,0.0466769,7.56
412,0.0500643,-7.824
413,0.0468981,7.686
414,0.0563204,-3.708
415,0.0496676,7.614
416,0.0558398,3.48
417,0.0433733,0.036
418,0.0564425,-3.48
419,0.0435793,-3.342
420,0.0523913,6.936
421,0.0454104,5.712
422,0.0528872,-7.164
423,0.0433886,-2.79
424,0.0521777,7.044
425,0.0514987,-7.548
426,0.0455859,6.786
427,0.0566561,0.738
428,0.0442355,-4.806
429,0.0533907,7.152
430,0.0549471,-5.04
431,0.0430071,-0.426
432,0.0448077,4.986
433,0.0497744,-7.866
434,0.0472109,7.83
435,0.0502017,-7.866
436,0.0467913,7.59
437,0.0479739,-7.668
438,0.0501101,-7.974
439,0.0560763,3.0
440,0.0553515,-4.506
441,0.0504992,8.274
442,0.0539553,-6.48
443,0.0442965,4.11
444,0.056679,0.09
445,0.0464022,7.404
446,0.0540011,6.726
447,0.0505068,-7.956
448,0.0471041,6.99
449,0.0509493,-7.866
450,0.0473254,7.104
451,0.0542834,-6.216
452,0.0494845,-7.89
453,0.0564959,3.516
454,0.0560458,-4.176
455,0.056618,3.306
456,0.0490344,-7.884
457,0.0455172,5.76
458,0.0563357,-2.34
459,0.0431368,-1.83
460,0.0560305,-4.23
461,0.0430605,-1.536
462,0.0564044,-2.172
463,0.0460131,6.33
464,0.0521472,-7.56
465,0.0526965,7.512
466,0.0572512,0.456
467,0.0458148,6.108
468,0.0536501,6.162
469,0.0446398,-4.95
470,0.0532839,6.39
471,0.0445025,-4.71
472,0.0446475,4.692
473,0.0515749,7.254
474,0.0502017,-7.974
475,0.0450442,6.228
476,0.0499575,-7.992
477,0.0452197,6.408
478,0.0436633,-3.606
479,0.0566256,-1.194
480,0.0521166,-7.272
481,0.0544589,6.372
482,0.0554049,-4.404
483,0.0437396,-2.964
484,0.0571826,-1.146
485,0.0478137,7.32
486,0.0494845,-7.95
487,0.0455935,6.792
488,0.0499575,-7.974
489,0.0437701,-2.958
490,0.0552447,-4.644
491,0.0430453,1.536
492,0.056885,2.526
493,0.0554278,-5.052
494,0.0435259,1.782
495,0.0524752,-7.098
496,0.0451434,-5.97
497,0.0433886,-0.714
498,0.0540545,-5.97
499,0.0436327,3.822
500,0.0571597,1.44
501,0.0541766,-6.366
502,0.0504992,8.274
503,0.0545046,-6.03
504,0.0443347,4.128
505,0.0566943,0.042
506,0.043854,-3.984
507,0.054024,6.738
508,0.051163,-7.836
509,0.0456088,-6.438
510,0.0572436,-0.63
511,0.0530169,-7.092
512,0.0518191,7.956
513,0.0440676,-3.876
514,0.0434649,3.348
515,0.052582,-7.326
516,0.052254,7.74
517,0.0523837,-7.416
518,0.0525134,7.626
519,0.0565112,-1.74
520,0.0431368,-1.752
521,0.0553362,5.442
522,0.0567172,0.192
523,0.0443118,-4.884
524,0.053879,6.816
525,0.0513308,-7.77
526,0.046982,6.954
527,0.0559466,-3.39
528,0.0429766,-0.3
529,0.055855,-3.636
530,0.0495303,8.346
531,0.0560381,-3.216
532,0.0429537,0.3
533,0.056618,1.032
534,0.0439379,3.288
535,0.0503085,7.554
536,0.0532839,-6.624
537,0.0434115,0.924
538,0.0560915,-4.074
539,0.0495379,-7.944
540,0.0436251,-2.496
541,0.0550005,-4.956
542,0.0431368,2.088
543,0.0495379,8.316
544,0.0551531,-5.34
545,0.0438616,3.108
546,0.0458605,-6.408
547,0.0493014,8.31
548,0.056061,4.386
549,0.0475237,-7.53
550,0.0499575,7.56
551,0.0536044,-6.414
552,0.0439227,4.536
553,0.0516055,-7.674
554,0.0440524,4.776
555,0.057236,0.552
556,0.0444796,-4.668
557,0.057236,0.354
558,0.0447237,-5.16
559,0.0561755,-2.94
560,0.0445788,-4.812
561,0.0572588,-0.132
562,0.0534441,7.152
563,0.051163,-7.818
564,0.0443728,5.292
565,0.0516055,-7.68
566,0.0530093,-7.122
567,0.0539248,5.916
568,0.0501635,-7.86
569,0.0474551,7.944
570,0.0563662,-3.63
571,0.047684,8.01
572,0.0476916,-7.584
573,0.0479052,8.094
574,0.0552065,5.604
575,0.0433505,0.21
576,0.0479052,7.332
577,0.0569232,2.442
578,0.048157,-7.788
579,0.0430377,-0.93
580,0.0552447,-5.286
581,0.0436251,2.19
582,0.056618,1.02
583,0.0436785,2.466
584,0.0496523,7.632
585,0.0447009,-5.526
586,0.0498812,7.554
587,0.0480578,-7.716
588,0.0566332,1.038
589,0.0448382,-5.676
590,0.0496676,7.56
591,0.0476382,-7.578
592,0.043793,4.254
593,0.057236,0.426
594,0.0447695,-5.178
595,0.0536425,6.126
596,0.0504916,-7.806
597,0.0465167,7.488
598,0.0567706,-2.658
599,0.0492709,7.548
600,0.0449908,-5.85
601,0.0523684,7.716
602,0.0474093,7.164
603,0.0472491,-7.458
604,0.0504534,8.268
605,0.0469973,-7.386
606,0.0506747,8.244
607,0.0543444,-6.18
608,0.0444186,4.344
609,0.0567095,-0.126
610,0.0441744,3.84
611,0.0566866,-0.348
612,0.0443194,4.098
613,0.0509951,7.398
614,0.0438616,-4.008
615,0.0539782,6.744
616,0.0505145,-7.92
617,0.0448,5.886
618,0.0572054,-0.576
619,0.0444643,5.46
620,0.0435107,-3.27
621,0.0539477,6.762
622,0.05246,-7.116
623,0.0541537,6.624
624,0.0571444,-1.242
625,0.0438998,-3.366
626,0.0543749,5.514
627,0.0488513,-7.89
628,0.0481188,8.148
629,0.049309,-7.908
630,0.0483248,8.184
631,0.0559161,-4.368
632,0.0435107,1.608
633,0.0563509,2.124
634,0.0457842,-6.576
635,0.0520785,7.812
636,0.0531847,-6.966
637,0.0522997,7.752
638,0.045418,-6.21
639,0.0490038,7.554
640,0.0442584,-4.824
641,0.0527117,7.536
642,0.0525439,-7.326
643,0.0452273,-5.796
644,0.0524981,6.846
645,0.0450671,-5.616
646,0.0564959,-1.74
647,0.0515521,-7.512
648,0.0444338,-5.058
649,0.0537188,6.918
650,0.0515292,-7.71
651,0.0459216,-6.642
652,0.0563738,2.058
653,0.0547335,-5.304
654,0.0432513,2.634
655,0.057091,1.698
656,0.0456851,-6.33
657,0.0519717,7.056
658,0.0570223,-1.8
659,0.0436938,-2.76
660,0.055176,4.53
661,0.0436175,-2.424
662,0.0549014,4.896
663,0.0480578,-7.758
664,0.046242,6.48
665,0.0562518,-2.664
666,0.0447314,-5.124
667,0.0536654,6.102
668,0.0504458,-7.812
669,0.0445178,4.482
670,0.050194,-7.824
671,0.0436327,-3.546
672,0.0548098,6.006
673,0.0433428,-0.438
674,0.0474551,7.176
675,0.0466158,-7.122
676,0.0476534,7.2
677,0.04966,-7.986
678,0.0559771,3.192
679,0.0501254,-7.974
680,0.0560763,3.006
681,0.0553439,-4.476
682,0.0483172,7.446
683,0.0552218,-4.65
684,0.0485308,7.452
685,0.0550768,-4.842
686,0.0431216,1.95
687,0.0487368,8.322
688,0.0445864,4.584
689,0.051491,7.278
690,0.0521853,-7.23
691,0.0449069,-5.724
692,0.0572131,-0.846
693,0.0438082,-3.12
694,0.054558,5.298
695,0.0572054,1.14
696,0.0439074,4.416
697,0.0479281,7.314
698,0.0570834,-1.554
699,0.0435717,-2.316
700,0.0549929,4.788
701,0.0430377,1.47
702,0.0483706,8.178
703,0.0561984,-2.832
704,0.0485613,8.214
705,0.0445101,4.434
706,0.0566485,-0.9
707,0.052376,-7.146
708,0.0525591,-7.338
709,0.0452044,-5.808
710,0.0501482,8.31
711,0.0466616,-7.14
712,0.0558321,3.468
713,0.0470431,-7.404
714,0.0478213,7.29
715,0.0436099,3.69
716,0.0429537,0.87
717,0.0450747,-5.532
718,0.0533068,6.366
719,0.044945,-5.334
720,0.0529177,6.606
721,0.0506594,-7.758
722,0.055939,4.614
723,0.0566409,-0.786
724,0.0530856,-6.78
725,0.0451434,-5.952
726,0.0521777,7.8
727,0.043915,-3.48
728,0.043587,3.786
729,0.0571978,0.762
730,0.055733,-3.894
731,0.0473711,-7.452
732,0.0565646,3.384
733,0.0471499,-7.326
734,0.0510256,7.41
735,0.0469286,-7.248
736,0.0480578,8.142
737,0.0556872,-4.722
738,0.0434573,1.272
739,0.0554125,5.286
740,0.0430529,-1.284
741,0.055588,5.13
742,0.0510027,-7.692
743,0.0557177,4.902
744,0.0567019,-2.754
745,0.0558398,4.698
746,0.0566866,-3.0
747,0.0495913,7.56
748,0.0483172,-7.8
749,0.0491717,7.59
750,0.0542376,-5.868
751,0.0435488,3.6
752,0.0571978,0.894
753,0.0542758,-6.21
754,0.0503542,8.292
755,0.0565188,3.504
756,0.0472491,-7.422
757,0.0508959,7.452
758,0.0527651,-6.972
759,0.0445254,5.568
760,0.057236,-0.168
761,0.0443728,-4.566
762,0.0541308,5.718
763,0.044266,-4.308
764,0.0448763,5.07
765,0.0496523,-7.914
766,0.0433962,-2.898
767,0.0453875,6.534
768,0.0495608,-7.98
769,0.0548708,5.892
770,0.0566485,0.81
771,0.0457308,6.888
772,0.0570376,-1.8
773,0.0435107,-1.95
774,0.0535433,7.074
775,0.0483096,-7.818
776,0.0569613,2.37
777,0.0456851,-6.276
778,0.0520175,7.098
779,0.0565798,1.176
780,0.0449984,-5.796
781,0.0530093,7.362
782,0.0563662,-2.22
783,0.04303,-1.092
784,0.0556719,4.944
785,0.048836,-7.902
786,0.0493243,7.554
787,0.0545428,-5.478
788,0.0433276,2.952
789,0.0440753,3.618
790,0.0516741,-7.47
791,0.0473254,-7.47
792,0.0501711,7.566
793,0.053406,-6.546
794,0.0492022,-7.956
795,0.0561373,2.772
796,0.0458071,-6.6
797,0.0561984,2.562
798,0.0455935,-6.45
799,0.0515826,7.98
800,0.0535815,-6.786
801,0.0461657,-6.726
802,0.0566409,-1.026
803,0.0496294,-7.95
804,0.0454943,6.696
805,0.053055,7.356
806,0.0515597,-7.716
807,0.0461657,6.39
808,0.0486224,-7.866
809,0.0430987,-1.518
810,0.0493777,7.608
811,0.0485308,-7.884
812,0.0434115,-1.242
813,0.0558245,3.528
814,0.0434649,3.402
815,0.0571978,1.116
816,0.0544207,-6.108
817,0.0524981,6.87
818,0.0542452,-6.264
819,0.0503466,8.268
820,0.0540698,-6.378
821,0.0571978,1.116
822,0.054436,-6.138
823,0.0443957,4.194
824,0.0567095,-0.012
825,0.0513079,-7.77
826,0.0469897,6.942
827,0.0541308,5.7
828,0.0429766,-0.276
829,0.054291,5.514
830,0.0441515,-4.014
831,0.0571826,-0.918
832,0.0440371,-3.756
833,0.045212,5.466
834,0.0524981,-7.368
835,0.0453951,5.706
836,0.0565646,-1.584
837,0.0431597,-1.938
838,0.0560915,-4.092
839,0.0430911,-1.692
840,0.0562823,2.448
841,0.0433733,0.654
842,0.0463412,7.374
843,0.0566943,-0.114
844,0.045975,7.068
845,0.0535815,7.044
846,0.0434496,-1.59
847,0.0537798,6.9
848,0.0507739,-7.878
849,0.0468447,6.882
850,0.0519869,7.872
851,0.0532458,-6.99
852,0.0452883,5.538
853,0.0565646,-1.434
854,0.0454485,5.742
855,0.0565188,-1.644
856,0.0454638,-6.084
857,0.0528109,6.684
858,0.0544817,-6.054
859,0.0430071,0.762
860,0.056679,3.096
861,0.044121,3.654
862,0.0506365,7.5
863,0.0557635,4.878
864,0.0487444,-7.896
865,0.0487292,7.518
866,0.0545123,-5.568
867,0.0433581,3.078
868,0.0496676,8.298
869,0.0550692,-5.406
870,0.0523074,6.966
871,0.0520175,-7.326
872,0.0437777,2.67
873,0.054764,-5.778
874,0.043854,2.946
875,0.0516055,-7.47
876,0.0439379,3.228
877,0.0566866,0.186
878,0.0442736,-4.848
879,0.05703,-1.704
880,0.043503,-2.004
881,0.0535281,7.086
882,0.0510638,-7.836
883,0.0466006,6.702
884,0.0561221,-3.024
885,0.0467608,6.846
886,0.0512774,-7.758
887,0.0469973,6.936
888,0.0559237,-3.402
889,0.0499728,8.268
890,0.0558169,-3.654
891,0.0429842,0.006
892,0.0505221,7.5
893,0.0536578,-6.366
894,0.0433733,0.342
895,0.0560305,3.078
896,0.0460436,-6.774
897,0.0517581,7.932
898,0.0548632,-5.13
899,0.0431979,2.412
900,0.0568774,2.592
901,0.0458376,-6.402
902,0.0517886,7.152
903,0.0525134,-7.11
904,0.0452273,6.492
905,0.0522921,-7.194
906,0.0548403,6.006
907,0.0570986,-1.434
908,0.0480731,7.41
909,0.0498812,-7.974
910,0.0546877,6.132
911,0.043381,-2.748
912,0.056618,-1.236
913,0.0476153,7.998
914,0.0562823,-3.726
915,0.0499041,-7.968
916,0.0483248,7.428
917,0.0458071,-6.558
918,0.0514224,8.052
919,0.0446856,-5.118
920,0.0537493,6.054
921,0.0503771,-7.818
922,0.0472872,7.836
923,0.0564959,-3.378
924,0.0436022,-3.516
925,0.0522921,6.972
926,0.0520251,-7.356
927,0.0476763,-7.596
928,0.0434039,-2.994
929,0.0558932,3.342
930,0.0529101,7.434
931,0.056,3.126
932,0.0466921,-7.26
933,0.0560763,2.928
934,0.0437624,4.152
935,0.0519793,-7.584
936,0.0458682,6.114
937,0.0483859,-7.806
938,0.0460207,6.294
939,0.0481493,-7.734
940,0.0488131,8.274
941,0.0556262,-4.782
942,0.043648,2.22
943,0.052315,7.71
944,0.0571291,1.536
945,0.0557559,-3.798
946,0.0503924,8.274
947,0.0540469,-6.432
948,0.052933,6.612
949,0.0543978,-6.15
950,0.0443804,4.266
951,0.0486376,8.25
952,0.0563281,-2.436
953,0.0448916,-5.358
954,0.0513232,8.076
955,0.0566485,3.222
956,0.0443957,4.254
957,0.0511553,7.38
958,0.0563891,2.04
959,0.045151,-6.024
960,0.0521929,7.764
961,0.0570986,1.698
962,0.0451739,-5.718
963,0.049576,-7.89
964,0.0564578,3.594
965,0.0560687,-4.11
966,0.0507891,7.47
967,0.0461886,7.248
968,0.051018,7.434
969,0.0563433,2.19
970,0.050606,7.5
971,0.0530398,-6.798
972,0.0443575,5.286
973,0.0509722,-7.848
974,0.0537875,6.882
975,0.0507205,-7.902
976,0.044678,5.7
977,0.0572512,-0.336
978,0.0570605,1.848
979,0.0453036,5.58
980,0.0550311,5.778
981,0.0491869,-7.968
982,0.0483477,7.422
983,0.0551302,4.62
984,0.0434649,-1.758
985,0.0494235,-7.986
986,0.0443347,-4.932
987,0.053261,7.248
988,0.0531695,-6.666
989,0.0457461,-6.576
990,0.0514376,8.052
991,0.0442812,-4.362
992,0.0516894,8.022
993,0.0569613,2.262
994,0.0560839,-3.198
995,0.0438616,2.988
996,0.0550692,-5.496
997,0.0499194,8.292
998,0.0475237,-7.572
999,0.0501559,8.298
