,A,P
145,0.0455401,61.494
146,0.073319,-38.958
147,0.0792165,34.872
148,0.0303422,-66.984
149,0.0983663,-6.75
150,0.0290605,-67.806
151,0.0774312,-36.852
152,0.041672,62.58
153,0.0783925,-38.064
154,0.0791326,36.18
155,0.0316927,-66.276
156,0.0647359,46.278
157,0.0512469,-54.3
158,0.0680013,45.024
159,0.0504,-55.32
160,0.00474551,63.468
161,0.0507662,-56.664
162,0.0500643,57.108
163,0.0501788,-57.726
164,0.0968022,15.618
165,0.0467455,-58.032
166,0.0136719,-74.358
167,0.0940175,-19.824
168,0.0946507,3.192
169,0.0444567,-59.916
170,0.0586245,52.986
171,0.0527346,-59.7
172,0.0972981,12.024
173,0.00607303,66.528
174,0.0911412,-18.336
175,0.00345613,62.694
176,0.0934148,-16.698
177,0.0955434,14.07
178,0.00304414,-55.788
179,0.0927968,-16.044
180,0.00231935,25.98
181,0.089623,23.514
182,0.0545046,56.148
183,0.0948644,-18.276
184,0.0564578,55.152
185,0.068398,-46.092
186,0.0171968,-72.936
187,0.0925908,-17.052
188,0.0527804,56.406
189,0.0643315,-47.61
190,0.0972981,12.606
191,0.0613024,-48.156
192,0.0930028,-15.006
193,0.0491641,56.322
194,0.100983,-5.256
195,0.0313265,68.112
196,0.0782704,-35.436
197,0.096314,-4.578
198,0.0515597,57.72
199,0.0759053,37.698
200,0.0505984,57.246
201,0.0671773,-43.998
202,0.0353854,-66.342
203,0.0804143,-34.092
204,0.0776067,39.54
205,0.0896688,-24.354
206,0.0765157,38.886
207,0.0901265,-22.434
208,0.00279237,-29.934
209,0.0929799,17.298
210,0.0671544,-43.314
211,0.0893788,27.21
212,0.0705571,-45.078
213,0.0328982,67.974
214,0.0979619,-5.238
215,0.0350497,67.038
216,0.100266,-3.654
217,0.0376666,66.072
218,0.0151368,-69.642
219,0.0985951,-3.312
220,0.0200349,-71.214
221,0.0884404,25.572
222,0.0792699,-35.97
223,0.0751348,35.976
224,0.0956197,17.454
225,0.00241853,-41.544
226,0.096436,16.494
227,0.00244905,33.126
228,0.0956578,15.684
229,0.048157,-58.506
230,0.0694432,44.01
231,0.0526736,-57.264
232,0.0880742,-26.73
233,0.0667348,44.958
234,0.0953298,-16.932
235,0.0482943,57.27
236,0.0662618,-46.902
237,0.093926,15.978
238,0.00184632,-16.74
239,0.095139,-14.424
240,0.0174104,-69.162
241,0.0860677,25.632
242,0.0511172,57.942
243,0.0962377,-2.46
244,0.0520327,57.126
245,0.0860982,-28.41
246,0.0962071,5.394
247,0.0223542,71.952
248,0.09269,15.75
249,0.00205232,37.242
250,0.0957189,-15.336
251,0.0019455,-6.69
252,0.0952916,-13.386
253,0.0661397,46.986
254,0.054024,-57.87
255,0.0936284,16.602
256,0.0529711,-55.248
257,0.0705495,44.88
258,0.0871968,-27.03
259,0.0693059,44.31
260,0.0510333,-57.234
261,0.0687642,45.816
262,0.0570605,54.306
263,0.00733951,69.096
264,0.092133,-15.984
265,0.0543444,54.666
266,0.0663762,-46.272
267,0.0541842,54.036
268,0.0511248,-58.536
269,0.0159456,-73.908
270,0.0986028,-7.944
271,0.0407412,64.512
272,0.0748143,-38.202
273,0.0776906,35.808
274,0.0367739,65.016
275,0.0969548,12.612
276,0.042618,-61.248
277,0.0713811,41.676
278,0.0853124,-30.984
279,0.0290986,68.46
280,0.098412,8.73
281,0.0726705,42.222
282,0.0431979,-61.53
283,0.0725636,-42.438
284,0.0385821,-61.236
285,0.00820929,-72.372
286,0.0644307,-50.646
287,0.00451663,-54.552
288,0.0609972,-51.084
289,0.0411379,62.82
290,0.0714574,-41.058
291,0.044945,61.494
292,0.0715795,39.33
293,0.0232316,70.926
294,0.0863805,-29.412
295,0.0731969,41.922
296,0.0493929,-59.802
297,0.0960011,11.556
298,0.0456088,-60.06
299,0.0685887,43.302
300,0.0837102,-32.16
301,0.094811,-12.294
302,0.00704196,-73.674
303,0.0930791,19.146
304,0.0522768,-55.128
305,0.0966115,17.88
306,0.0533755,-56.598
307,0.0647588,46.638
308,0.0324709,-67.386
309,0.098084,5.148
310,0.0131684,73.842
311,0.069344,44.472
312,0.0152894,73.62
313,0.0883031,-26.136
314,0.0195314,72.648
315,0.0215455,-78.474
316,0.0619204,-47.238
317,0.0875096,26.244
318,0.0226899,-72.528
319,0.100327,-4.338
320,0.0351336,67.56
321,0.0794072,-34.638
322,0.0351717,67.158
323,0.0794301,-32.592
324,0.0775304,38.214
325,0.0922017,18.09
326,0.0121461,73.296
327,0.0913243,-23.802
328,0.0133668,73.398
329,0.0929494,5.448
330,0.0754781,38.418
331,0.0869832,-25.284
332,0.0639043,48.498
333,0.0327914,66.864
334,0.0834432,-33.624
335,0.0778966,37.872
336,0.0817037,-34.422
337,0.0336306,66.99
338,0.0771489,-34.788
339,0.0978169,-1.596
340,0.0324404,68.076
341,0.083878,-35.616
342,0.0135728,73.632
343,0.0452654,61.014
344,0.0934072,-1.836
345,0.0232316,-71.946
346,0.0876164,28.914
347,0.0195695,-70.956
348,0.0979161,-1.5
349,0.0305787,68.046
350,0.0674367,-45.648
351,0.0533907,57.084
352,0.0558779,-54.51
353,0.0040665,-61.464
354,0.0352938,66.93
355,0.0981297,-6.402
356,0.0319369,-65.286
357,0.076798,-36.858
358,0.0766988,37.158
359,0.0529559,56.484
360,0.093636,-17.976
361,0.0528567,55.842
362,0.065804,-45.45
363,0.0926137,15.042
364,0.00180817,40.374
365,0.0947804,-16.032
366,0.0505908,57.372
367,0.0684361,-46.32
368,0.0515368,56.58
369,0.092339,-17.7
370,0.0700154,45.102
371,0.0526583,-56.154
372,0.0969625,14.64
373,0.00524905,-72.576
374,0.0526888,-55.356
375,0.0971456,6.978
376,0.0523531,-56.448
377,0.0646443,46.602
378,0.048836,-56.814
379,0.0961919,16.092
380,0.00585178,-73.38
381,0.0948873,15.36
382,0.00387575,-65.418
383,0.0495532,57.492
384,0.0626988,-46.38
385,0.053261,56.178
386,0.0656133,-48.054
387,0.0862889,26.322
388,0.0495379,56.73
389,0.0992894,-4.314
390,0.0547945,55.158
391,0.00210573,33.942
392,0.0919652,-18.216
393,0.0574114,52.83
394,0.0462878,-58.716
395,0.096375,14.226
396,0.0623629,-49.776
397,0.0831838,24.996
398,0.0674977,-48.498
399,0.0887761,23.46
400,0.0610735,-48.438
401,0.0328677,65.61
402,0.00856787,70.464
403,0.0976033,10.53
404,0.00945288,71.832
405,0.0927052,-20.172
406,0.057709,-51.192
407,0.0881429,22.632
408,0.00813299,-65.748
409,0.0993962,-8.226
410,0.0378649,65.07
411,0.0949636,2.316
412,0.0195009,72.564
413,0.0854573,-25.278
414,0.0232621,71.562
415,0.0865636,-26.436
416,0.0685124,44.784
417,0.0893788,-27.846
418,0.0704579,43.74
419,0.0479281,-57.048
420,0.0958409,2.736
421,0.0201722,73.296
422,0.0962377,4.452
423,0.0247499,72.006
424,0.0962453,14.034
425,0.0481646,-57.216
426,0.0686421,43.224
427,0.0902562,22.086
428,0.0605319,-49.938
429,0.00982672,-72.558
430,0.0587771,-50.724
431,0.0914159,22.764
432,0.0115739,-73.308
433,0.0980229,-7.47
434,0.0113755,-75.654
435,0.0902028,21.204
436,0.0131989,-73.782
437,0.0468752,59.652
438,0.0726552,-40.824
439,0.0844502,30.396
440,0.0710225,-41.646
441,0.0870366,29.262
442,0.0277406,-70.932
443,0.070992,42.072
444,0.0272523,69.966
445,0.0998998,0.414
446,0.0285722,69.348
447,0.0993505,-0.444
448,0.0398104,62.82
449,0.0977559,-12.318
450,0.04509,61.122
451,0.00887305,72.912
452,0.0813603,-34.02
453,0.0709538,40.506
454,0.0840535,-32.352
455,0.0313418,68.004
456,0.0952535,7.758
457,0.0344851,66.798
458,0.100152,-4.506
459,0.0223466,-74.394
460,0.0878835,24.354
461,0.0607684,-50.682
462,0.0858693,23.772
463,0.0604556,-48.372
464,0.0861669,-29.196
465,0.0711904,42.354
466,0.0845571,-30.0
467,0.0814748,32.952
468,0.0966725,12.324
469,0.060982,-52.002
470,0.0984273,11.238
471,0.074204,41.892
472,0.046509,-58.878
473,0.095551,11.712
474,0.00135041,-7.092
475,0.0950093,13.482
476,0.00557712,65.058
477,0.0912786,-19.5
478,0.055939,54.15
479,0.0655904,-47.49
480,0.0911412,18.654
481,0.0191804,-74.334
482,0.0901952,25.452
483,0.060631,-48.792
484,0.055649,54.156
485,0.095017,-21.006
486,0.0729604,-41.52
487,0.078156,33.108
488,0.0734944,-39.462
489,0.0813298,31.872
490,0.0987477,-0.126
491,0.0244981,70.956
492,0.0861363,-30.606
493,0.060097,-51.042
494,0.0617831,49.71
495,0.0903554,-22.494
496,0.0574038,51.81
497,0.0434573,-63.654
498,0.00994879,74.346
499,0.0443652,-61.398
500,0.101616,8.76
501,0.0084458,73.182
502,0.0974889,8.298
503,0.0108414,74.124
504,0.0467761,60.222
505,0.094521,-13.476
506,0.00382997,-58.08
507,0.0941701,-11.532
508,0.0458071,59.214
509,0.073853,-42.228
510,0.0984426,-11.478
511,0.0280687,-71.304
512,0.099503,-12.564
513,0.043915,61.368
514,0.0872426,27.516
515,0.00459293,-59.118
516,0.0985265,-11.532
517,0.0451891,59.97
518,0.0768361,38.922
519,0.0425799,-61.236
520,0.100365,8.604
521,0.0278016,69.426
522,0.100319,10.362
523,0.00798041,74.85
524,0.0923314,-19.986
525,0.0549624,-53.952
526,0.0994191,8.664
527,0.0139161,74.616
528,0.0886083,-21.51
529,0.0919728,-12.57
530,0.0899205,20.826
531,0.068665,-42.81
532,0.085053,30.75
533,0.0683827,-43.884
534,0.0851903,29.904
535,0.0258638,-69.084
536,0.0735478,39.846
537,0.0828099,-32.58
538,0.00926214,72.504
539,0.0261613,-72.546
540,0.0948644,-2.196
541,0.0222474,-71.67
542,0.0994878,-0.912
543,0.0278856,69.042
544,0.098496,9.354
545,0.0449297,-62.49
546,0.101342,8.154
547,0.0108872,73.938
548,0.0893102,-21.942
549,0.0947652,11.658
550,0.0108185,72.09
551,0.0910573,-18.618
552,0.0578616,52.392
553,0.0919957,20.826
554,0.0113373,73.368
555,0.0930409,-20.862
556,0.0102387,71.67
557,0.0940709,8.154
558,0.056618,-52.842
559,0.0953679,20.4
560,0.0740438,40.284
561,0.027939,69.252
562,0.0970235,-0.96
563,0.0411456,-60.378
564,0.096993,9.228
565,0.0414279,-61.818
566,0.0845189,-32.598
567,0.0830388,30.732
568,0.0867543,28.518
569,0.0478442,-56.376
570,0.0924459,16.668
571,0.00214387,5.886
572,0.0945134,-13.758
573,0.00330354,46.392
574,0.0975575,-15.084
575,0.00461581,-69.552
576,0.0933537,-15.558
577,0.0497973,57.942
578,0.088654,24.12
579,0.0049744,57.972
580,0.0921941,-14.466
581,0.09903,15.576
582,0.00259401,42.192
583,0.0943837,15.198
584,0.00334932,-60.072
585,0.0874562,25.164
586,0.0192872,-72.15
587,0.0667806,-45.57
588,0.0881505,28.092
589,0.071053,-44.124
590,0.092751,16.368
591,0.0988393,-4.482
592,0.0148087,-73.182
593,0.0986714,-5.424
594,0.0865026,25.788
595,0.0216218,-74.352
596,0.0969243,-2.274
597,0.0188524,-73.974
598,0.0981145,-14.532
599,0.0758367,-34.518
600,0.0780416,36.264
601,0.0404131,-64.734
602,0.0987172,5.916
603,0.0173494,73.938
604,0.0937505,16.008
605,0.0525134,-55.968
606,0.0664449,-47.736
607,0.0974355,15.414
608,0.0206529,72.324
609,0.0988698,3.468
610,0.0260011,-68.166
611,0.0826497,32.394
612,0.0280839,-70.794
613,0.0973363,-9.18
614,0.0304185,-69.048
615,0.097199,0.882
616,0.0470965,-59.676
617,0.0960774,2.826
618,0.0817037,-31.758
619,0.083405,31.422
620,0.0277787,-72.282
621,0.0846105,30.462
622,0.073029,-41.886
623,0.0963979,-11.046
624,0.048279,59.502
625,0.10051,-1.392
626,0.0254976,70.464
627,0.0975499,0.774
628,0.0917287,-22.8
629,0.0986333,-0.288
630,0.0970159,-21.498
631,0.0605547,50.466
632,0.0124589,74.46
633,0.0927968,-20.808
634,0.00704196,73.35
635,0.0883336,-21.234
636,0.0126114,73.896
637,0.0967412,7.35
638,0.0894017,-21.612
639,0.060631,49.716
640,0.0125504,74.946
641,0.0910878,-21.642
642,0.0580752,52.128
643,0.0870137,-22.116
644,0.0110245,-78.282
645,0.0770268,35.85
646,0.0388186,-65.136
647,0.0657735,48.132
648,0.0126038,75.486
649,0.0913396,-22.746
650,0.0607836,48.906
651,0.0611346,-53.214
652,0.06498,47.55
653,0.0980458,-13.56
654,0.0476077,59.934
655,0.0714574,-44.112
656,0.0516284,58.65
657,0.068337,-44.688
658,0.0834813,29.514
659,0.0253526,-73.758
660,0.0343096,66.738
661,0.0272752,-71.532
662,0.0991597,-2.01
663,0.0274812,70.254
664,0.0988545,-2.94
665,0.0277406,69.906
666,0.0841908,-30.834
667,0.0742116,40.422
668,0.0816884,-31.524
669,0.0747228,39.606
670,0.0825505,-32.706
671,0.0122147,72.546
672,0.0948186,7.326
673,0.0116654,73.098
674,0.043587,-63.504
675,0.0965276,-0.726
676,0.044884,-61.362
677,0.0758367,38.61
678,0.0371478,-64.038
679,0.0712438,-43.38
680,0.0816045,31.05
681,0.0451205,60.558
682,0.0983815,-10.926
683,0.00455478,-64.824
684,0.0833058,29.202
685,0.0972753,-2.724
686,0.0507739,57.3
687,0.0704122,-44.412
688,0.0906529,-24.516
689,0.0789495,35.814
690,0.0171434,-71.34
691,0.077889,35.16
692,0.0741658,-36.834
693,0.079987,36.432
694,0.0348284,-66.024
695,0.00164033,-29.37
696,0.0560534,-54.948
697,0.0917897,16.686
698,0.0564196,-56.238
699,0.0688481,45.018
700,0.0476916,-55.26
701,0.0686574,46.47
702,0.0464633,-56.172
703,0.0933766,16.428
704,0.00209047,5.856
705,0.0972447,-14.214
706,0.0030594,44.736
707,0.0902028,25.512
708,0.0680776,-46.758
709,0.0536349,54.03
710,0.0655751,-47.442
711,0.0971074,-17.142
712,0.0522845,56.796
713,0.06778,-44.388
714,0.0175172,-76.446
715,0.0957189,-16.038
716,0.0532,55.314
717,0.0644307,-46.002
718,0.0856252,27.732
719,0.0521243,57.288
720,0.0961614,-2.442
721,0.0361025,-65.664
722,0.0767522,37.104
723,0.016266,-73.236
724,0.0980229,-4.542
725,0.0329363,67.902
726,0.0780644,-34.95
727,0.0154191,73.326
728,0.00231935,11.082
729,0.0898595,26.904
730,0.0653691,-47.784
731,0.0880895,26.262
732,0.0161973,-73.524
733,0.0667119,-44.55
734,0.0845494,26.808
735,0.0222322,-71.868
736,0.0845571,28.41
737,0.0773091,-35.298
738,0.0327151,66.654
739,0.0811391,-33.81
740,0.0771413,37.572
741,0.0821767,-35.04
742,0.0207978,73.2
743,0.0806508,-35.886
744,0.0336001,65.13
745,0.0974355,-7.266
746,0.0333941,-66.534
747,0.0784612,-37.686
748,0.082375,36.096
749,0.0361407,-63.48
750,0.0954671,6.216
751,0.0319521,-67.338
752,0.0805593,34.698
753,0.0798573,32.646
754,0.0357592,65.028
755,0.0953298,-8.97
756,0.0372317,64.17
757,0.0138398,-73.092
758,0.0400393,63.078
759,0.0571063,-50.754
760,0.0959477,11.814
761,0.0825887,31.452
762,0.0297242,-72.36
763,0.0116807,74.142
764,0.0943074,10.218
765,0.0937963,-22.254
766,0.0771413,38.124
767,0.0787206,-33.702
768,0.047539,58.254
769,0.067513,-45.594
770,0.0863881,-25.974
771,0.0619128,48.114
772,0.0875859,-27.144
773,0.0981832,-4.332
774,0.0350115,66.168
775,0.0617144,-47.874
776,0.0897603,25.458
777,0.0779271,-35.778
778,0.0860219,25.08
779,0.0647359,-47.394
780,0.0540087,55.182
781,0.0985951,-8.196
782,0.0581515,51.84
783,0.0901875,-19.944
784,0.00776675,72.438
785,0.092133,-18.276
786,0.0562899,52.824
787,0.00726321,69.438
788,0.0969777,-18.276
789,0.0557253,53.514
790,0.0849156,-29.976
791,0.0655904,48.618
792,0.0564959,-52.332
793,0.0928578,21.084
794,0.0699925,-42.27
795,0.0899282,20.568
796,0.0545504,-54.24
797,0.0904012,19.644
798,0.0957952,-12.378
799,0.0499804,58.056
800,0.0706182,-42.426
801,0.0858464,28.758
802,0.0264283,-71.454
803,0.0718236,41.364
804,0.0272447,69.714
805,0.0988393,10.842
806,0.0423281,-63.294
807,0.0722127,39.78
808,0.0830464,-32.97
809,0.0768971,38.382
810,0.0431979,-62.304
811,0.083962,-32.478
812,0.0739293,41.562
813,0.0909352,-19.5
814,0.0561144,-53.814
815,0.0987782,9.006
816,0.036545,-64.05
817,0.0624697,48.792
818,0.0393755,-66.462
819,0.0967946,7.422
820,0.088593,-24.402
821,0.0765538,36.018
822,0.0389559,-65.016
823,0.0975804,5.526
824,0.0140381,74.976
825,0.04126,-61.8
826,0.0600512,49.122
827,0.0876012,-23.124
828,0.0669637,47.352
829,0.0505373,56.454
830,0.0691381,-44.814
831,0.0477068,58.206
832,0.0691991,-45.942
833,0.0871434,28.26
834,0.0663686,-46.548
835,0.0497897,56.526
836,0.0867009,25.242
837,0.00787359,69.906
838,0.0949101,10.746
839,0.0592043,51.12
840,0.00915533,72.33
841,0.091187,21.198
842,0.0984273,0.168
843,0.0248033,70.926
844,0.0980535,-0.72
845,0.0446551,-61.026
846,0.0961766,12.288
847,0.00731662,72.288
848,0.0918584,-18.276
849,0.0122452,-76.398
850,0.0975118,-8.16
851,0.0149689,-75.666
852,0.0457308,60.018
853,0.0725942,-40.578
854,0.0263063,71.154
855,0.0848088,-28.014
856,0.0975347,2.736
857,0.0182878,72.984
858,0.0874562,-27.756
859,0.0984044,-8.13
860,0.0131379,-73.83
861,0.0983357,-9.09
862,0.0577776,53.712
863,0.0566409,-49.164
864,0.0580599,52.986
865,0.0813832,32.598
866,0.0276033,-69.312
867,0.0980229,2.262
868,0.0863347,-29.706
869,0.0994115,1.182
870,0.0491793,-60.144
871,0.0745244,43.008
872,0.0954518,9.408
873,0.00858313,73.068
874,0.0408251,-60.27
875,0.0972981,1.38
876,0.0485537,-60.072
877,0.0948873,11.358
878,0.0063248,65.73
879,0.0964894,10.266
880,0.0829854,30.468
881,0.0440981,62.43
882,0.0703359,-40.434
883,0.046303,61.482
884,0.0688787,-41.28
885,0.0803685,32.472
886,0.0869069,-29.112
887,0.0829549,31.308
888,0.0318758,-69.012
889,0.0800633,33.258
890,0.0274278,-68.292
891,0.0826344,32.124
892,0.0436938,61.686
893,0.0736547,-38.268
894,0.0229188,72.444
895,0.0970387,1.104
896,0.0225221,72.45
897,0.055733,53.682
898,0.0600436,-49.674
899,0.0533831,53.448
900,0.00373079,63.252
901,0.09092,-17.328
902,0.0596697,52.938
903,0.0659108,-48.45
904,0.0877309,23.4
905,0.0637822,-49.212
906,0.0859685,22.764
907,0.0954518,-9.45
908,0.0572207,53.34
909,0.0951695,-18.906
910,0.0104523,72.57
911,0.0980763,9.708
912,0.0907216,-21.96
913,0.0777669,38.388
914,0.0965962,7.008
915,0.0362475,65.49
916,0.0987401,-5.364
917,0.0361254,64.998
918,0.0997243,-6.42
919,0.0330889,66.642
920,0.0807271,-36.816
921,0.0339358,-66.528
922,0.0815816,32.574
923,0.0134431,-74.352
924,0.0952992,-8.796
925,0.0316927,-68.46
926,0.0955129,4.356
927,0.0392764,63.306
928,0.0780721,-37.53
929,0.0405047,62.544
930,0.0738454,-37.926
931,0.0882726,22.158
932,0.0598605,-49.992
933,0.0381777,63.558
934,0.0979009,-11.046
935,0.0412371,62.346
936,0.0957952,20.274
937,0.00732425,-71.976
938,0.0819097,30.828
939,0.0695195,-41.196
940,0.0522921,58.116
941,0.0737767,38.652
942,0.0223848,-70.896
943,0.0968633,-2.892
944,0.0185319,-69.36
945,0.0964513,-3.78
946,0.0407336,-64.416
947,0.0786519,-33.936
948,0.0756764,39.702
949,0.0420992,-60.876
950,0.0776296,38.652
951,0.0427706,-62.424
952,0.0276414,68.958
953,0.0800252,-34.23
954,0.0344546,66.828
955,0.0978627,-5.898
956,0.0280915,68.142
957,0.0823979,-36.672
958,0.102738,-3.102
959,0.0519106,56.766
960,0.0764928,37.212
961,0.0393374,-64.008
962,0.0959401,6.582
963,0.0934987,-14.004
964,0.0918279,19.524
965,0.0725636,-42.15
966,0.0829549,29.562
967,0.09623,-2.25
968,0.0907826,-23.13
969,0.0809102,36.672
970,0.0396807,-63.204
971,0.0119324,74.154
972,0.0733647,-35.22
973,0.0313113,-65.01
974,0.096993,-7.23
975,0.032799,-67.284
976,0.0960851,5.562
977,0.0295182,-67.074
978,0.0810704,34.128
979,0.0849614,-27.114
980,0.0823064,33.18
981,0.0758977,-42.306
982,0.0233842,-69.582
983,0.0974355,-10.788
984,0.0410311,62.526
985,0.097054,-11.712
986,0.0446017,61.272
987,0.0694737,-41.28
988,0.0550692,-54.708
989,0.00460055,-68.52
990,0.0517962,-55.14
991,0.0953221,17.946
992,0.057915,-54.216
993,0.0969396,16.872
994,0.00192261,-8.97
995,0.0929418,-13.212
996,0.0613177,49.764
997,0.0889287,-25.314
998,0.0675817,45.96
999,0.0501406,-54.66
1000,0.0784154,-35.796
1001,0.0313265,66.924
1002,0.0833364,-34.44
1003,0.0773931,37.308
1004,0.0349047,-61.89
1005,0.0954671,-3.87
1006,0.0926671,15.696
1007,0.0182573,73.848
1008,0.0200578,-74.346
1009,0.0675664,-46.65
1010,0.0885854,-24.192
1011,0.0802464,36.12
1012,0.0817571,-36.414
1013,0.0909581,24.018
1014,0.0148087,-74.976
1015,0.0978703,-6.108
1016,0.0959325,13.512
1017,0.00206758,6.462
1018,0.0868459,26.682
1019,0.0791326,-34.83
1020,0.0912099,25.338
1021,0.053757,55.872
1022,0.0682607,-45.6
1023,0.0882497,25.776
1024,0.0211946,-72.18
1025,0.103058,-2.274
1026,0.0210801,-73.944
1027,0.100274,-2.922
1028,0.0192338,-74.28
1029,0.0983129,-3.63
1030,0.0388415,-64.014
1031,0.0785985,36.066
1032,0.0883718,-25.494
1033,0.099915,7.836
1034,0.0134431,73.794
1035,0.0899968,-22.11
1036,0.054085,-52.992
1037,0.065186,46.674
1038,0.0564272,-54.726
1039,0.0662236,45.804
1040,0.0526507,-55.074
1041,0.0973592,4.47
1042,0.0202256,72.372
1043,0.0976262,3.516
1044,0.0372546,65.46
1045,0.0973592,2.616
1046,0.0747151,36.552
1047,0.054291,55.524
1048,0.0526507,-56.346
1049,0.0194856,-75.054
1050,0.0199739,72.408
1051,0.0939107,2.976
1052,0.0156633,73.794
1053,0.0337451,-66.642
1054,0.00223543,40.416
1055,0.0901418,-29.34
1056,0.0648198,45.768
1057,0.0491183,-55.38
1058,0.0978475,-7.35
1059,0.0912023,23.388
1060,0.0187989,-74.664
1061,0.0747762,37.044
1062,0.0328677,-66.36
1063,0.0800557,-34.668
1064,0.0742803,37.146
1065,0.0408022,-64.266
1066,0.0215913,71.994
1067,0.0824056,-30.606
1068,0.0687032,45.738
1069,0.0358584,-65.208
1070,0.10093,6.966
1071,0.05143,-56.376
1072,0.0912175,17.514
1073,0.0063782,-67.188
1074,0.0884862,-24.228
1075,0.0618975,49.512
1076,0.0864263,29.202
1077,0.0223466,-72.9
1078,0.0967107,-1.194
1079,0.08355,29.634
1080,0.0265733,-69.288
1081,0.0761113,39.522
1082,0.0248796,-69.816
1083,0.0776448,38.568
1084,0.0815511,-33.534
1085,0.0747685,40.446
1086,0.0912099,-20.868
1087,0.0034485,-33.906
1088,0.0842748,30.06
1089,0.0820088,-31.392
1090,0.0325701,67.92
1091,0.0801778,-32.166
1092,0.0750508,38.91
1093,0.0896993,-22.08
1094,0.0668111,48.444
1095,0.0972066,-9.618
1096,0.0444186,60.882
1097,0.0131684,-73.116
1098,0.0941548,20.13
1099,0.0566638,-51.174
1100,0.08915,19.848
1101,0.0571444,-52.458
1102,0.0889821,-21.876
1103,0.01046,-75.99
1104,0.0982137,-9.192
1105,0.028679,-68.058
1106,0.0848317,30.534
1107,0.0397723,63.504
1108,0.0722737,-40.374
1109,0.081368,33.432
1110,0.0714726,-41.346
1111,0.0806432,32.718
1112,0.0324633,-71.64
1113,0.100083,2.082
1114,0.0313418,-68.214
1115,0.0999761,1.164
1116,0.0243837,71.346
1117,0.0859075,-29.442
1118,0.0639729,45.33
